id_NUMBER,ITEM_NAME,TITLE,MAKER,DATE_MADE,PLACE_MADE,MATERIALS,MEASUREMENTS,DESCRIPTION,WHOLE_PART,COLLECTION
1974-100,Pocket horizontal sundial,Ansonia Sunwatch (pocket compas dial),Ansonia Clock Co.,1922-1939,"New York county, New York state, United States",,,Ansonia Sunwatch (pocket compass dial),WHOLE,SCM - Time Measurement
1883-74,spring-driven clock mechanism; fusee; model,Model of train of wheels used in a clock (full size) with pa,,,,,,Model of train of wheels used in a clock (full size) with pair of vanes and base,WHOLE,SCM - Time Measurement
1953-404,log (nautical instrument); sandglass,Ship's log-glass in wooden mount. 14 secs. Abbot Horne No.22,,,,glass; sand; mounted; wood; timer,,Ship's log-glass in wooden mount. 14 secs. Abbot Horne No.22. Type B,WHOLE,SCM - Time Measurement
1970-377,pocket watch; duplex watch,Watch with Chinese duplex escapement,,,,,,Watch with Chinese duplex escapement,WHOLE,SCM - Time Measurement
1979-5,,"""Ever Ready"" ceiling clock",Ever Ready Co. (maker),,,,"overall: 140 mm x 124 mm x 152 mm,","""Ever Ready"" ceiling clock",WHOLE,SCM - Time Measurement
1938-371,diptych sundial,Ivory diptych dial by Jasper Milner,"Milner, Jasper",1501-1600,,dial: ivory,,Ivory diptych dial by Jasper Milner,WHOLE,SCM - Time Measurement
1883-64,deadbeat escapement; clock mechanism; model,Dead-beat escapement model (full size) with wooden stand.,,,,stand: wood,,Dead-beat escapement model (full size) with wooden stand.,WHOLE,SCM - Time Measurement
1953-448,sand glass,"Large single sand-glass in wooden mount, 21 1/2"" long x 11""",,,,overall: glass; mount: wood,overall: 555 mm x 275 mm,"Large single sand-glass in wooden mount, 21 1/2"" long x 11"" diameter. Abbot Horne No.111. Type A",WHOLE,SCM - Time Measurement
1985-438,Spring driven pendulum clock,Copy  of a Dwerrihouse skeleton clock with coup-perdu escape,Thwaites and Reed Ltd. (maker),1973,"London, England, United Kingdom","brass (copper, zinc alloy); steel (metal); wood (unidentified)","overall: 380 mm x 300 mm x 192 mm, weight: 6.45kg","Copy  of a Dwerrihouse skeleton clock with coup-perdu escapement. Made by Thwaites and Reed, London, England, 1973. No. 88 of a limited edition of 100.",WHOLE,SCM - Time Measurement
1985-475,Electrically driven pendulum clock,"Synchronome free pendulum clock, patented by F. Hope-Jones i",Synchronome Co. Ltd. (maker),,"London, Greater London, England, United Kingdom",,"overall: 1350 mm x 364 mm x 200 mm,","Synchronome free pendulum clock, patented by F. Hope-Jones in 1935, in oak case, lacks both pendulums, with weight (probably not original)",WHOLE,SCM - Time Measurement
1985-770,sand glass,"""Timetrunk"" by Hines and Co., Glasgow (a sandglass for timin",Hines and Co. (maker),,"Glasgow, Scotland, United Kingdom",,"overall: 182 mm x 40 mm x 40 mm,","""Timetrunk"" by Hines and Co., Glasgow (a sandglass for timing telephone calls)",WHOLE,SCM - Time Measurement
1985-1202,clock,Assembled and unassembled EXA electric clock kit,EXA,1931-1939,Belgium,"brass (copper, zinc alloy); steel (metal); cardboard; wood (unidentified)",overall: 170 mm x 132 mm x 154 mm,"Electric clock kit in original box and a similar clock which has been assembled, by EXA, Belgium, 1931-1939. Support stand broken on finished dock. Lid of box containing finished clock missing.",TOP,SCM - Time Measurement
1985-1538,,Watch timer by P,P.L. Instruments Ltd. (maker),,,,,"Watch timer by P.L. Instruments Ltd., Welwyn Garden City; with tuning fork standard and spark printer",WHOLE,SCM - Time Measurement
1985-1389,Plate horizontal sundial,"Horizontal sundial in bronze dated, 1551 with initials W.B.","Gemini, Thomas",1551,,,,"Horizontal sundial in bronze dated, 1551 with initials W.B. (? William Buckley). Possibly by Thomas Gemini",WHOLE,SCM - Time Measurement
1985-1914,pocket watch,"Ingersoll ""Dan Dare"" automaton pocket watch with pin-pallet",Ingersoll (maker),1953,,,overall: 65 x 12 x 52 mm,"Ingersoll ""Dan Dare"" automaton pocket watch with pin-pallet lever escapement. The dial shows a helmeted Dan Dare holding a ray gun, with a monster approaching. The emblem of the "" Eagle"" children's comic is impressed in the back of case.",WHOLE,SCM - Time Measurement
1985-172,Sundial model,Copy of the gearing of the Byzantine sundial-calendar (1983-,,,,,,"Copy of the gearing of the Byzantine sundial-calendar (1983-1393) three times true size, conjecturally completed, in perspex and brass",WHOLE,SCM - Time Measurement
1955-303,Cylinder sundial,"Column dial by Henry Robert, Horloger, au Palais Royal, pape","Robert, Henry (maker)",1831-1870,"Paris, Ville de Paris, Île-de-France, France",,,"Column dial by Henry Robert, Horloger, au Palais Royal, paper on wood, early 19th century",WHOLE,SCM - Time Measurement
1987-1145,pocket watch,Solar/Sidereal verge watch with epicyclic maintaining power,"Green, James (maker)",,"London, Greater London, England, United Kingdom",,,"Solar/Sidereal verge watch with epicyclic maintaining power by James Green, London, no. 5969, in silver pair case hallmarked 1776, believed to be the earliest English watch to indicate solar and sidereal time with seconds.",WHOLE,SCM - Time Measurement
1876-19,photograph,Photograph of Dent's chronometer with glass balance spring,School of Military Engineering,1870-1876,"Chatham, Medway, England, United Kingdom",,photograph (excluding mount): 285 x 230 mm,"Photograph (portrait) of Dent's chronometer with glass balance spring, taken by the School of Military Engineering, Chatham, Kent, England, 1870-1876",WHOLE,SCM - Time Measurement
1876-70,drawing,"Drawing Representing Galileo's Proposal for the Application of the Pendulum to the Clock, 1659, copy","Viviani, Vincenzo",1659,Italy,paper (fibre product),overall: 500 mm x 420 mm,"Copy of the drawing representing Galileo's idea of the application of the pendulum to the clock, 1659.",WHOLE,SCM - Time Measurement
1876-322,polyhedral sundial; reproduction,Ancient stone sundial - plaster cast,,,,casting plaster; polyhedral; chronological; replication,overall: 320 mm high,Ancient stone sundial - plaster cast,WHOLE,SCM - Time Measurement
1876-377,chronograph - timer,"Bashforth's Chronograph with screens, frame and weights, inv","Bashforth, Rev. Francis",1865-1875,"Horncastle, Lincolnshire, England, United Kingdom",paper (fiber product); cord (fiber product); cotton fibre; thread; brass (alloy); copper; wood; rotating; vertical; cylindrical; electrical properties; electromagnetic; timer; regulated,,"Bashforth's Chronograph with screens, frame and weights, invented c. 1865.",WHOLE,SCM - Time Measurement
1876-950,,"Description of the Chronograph, given by Mr",,,,,,"Description of the Chronograph, given by Mr. Bashforth (Note:- may be accepted as presented with the chronograph)",WHOLE,SCM - Time Measurement
1879-32,regulator clock; gravity escapement,Regulator Clock with Gravity Escapement,"Bloxam, J. M.",1845-1855,,"steel (metal); cast iron; mercury; wood (unidentified); brass (copper, zinc alloy); glass",overall: 1850 mm x 350 mm x 250 mm,"Clock with gravity escapement constructed by Mr. J. M. Bloxam, 1845-1855.",WHOLE,SCM - Time Measurement
1880-29,universal ring sundial,"Universal ringdial brass (part silvered), diameter 8 1/2"", b",,1701-1800,France,brass (alloy); silvered; adjustable; chronological,brassplate: 86 mm square; ringdial diameter: 216 mm,"Universal ringdial brass (part silvered), diameter 8 1/2"", brassplate 3 3/8 In. square, French, 18th century",WHOLE,SCM - Time Measurement
1880-30,equinoctial sundial,Sundial and compass with perpetual calendar and lunar circles,"Köhler, Christopher",1677,"Dresden, Germany","brass (copper, zinc alloy); silvered; glass","overall: 180 mm x 136 mm x 175 mm, weight: 0.93kg","Sundial and compass with perpetual calendar and lunar circles. Brass, part silvered, 6 1/8 x 5 3/8-inches. By Christopher Kohler, Dresden, Germany, 1677. Glass of compass box cracked, compass needle missing.",WHOLE,SCM - Time Measurement
1880-31,sundial,Sundial,"Langlois, Claude",1730-1751,France,,overall: 203 mm x 175 mm,"Sundial, Brass, gromon and heads of levelling screws gilt. Plate 8 in. by 6 7/8 in. Invented by Julien le Roy. Made by Langlois, French. 1730-1751",WHOLE,SCM - Time Measurement
